area,country,damageAmountOrder,day,deaths,deathsAmountOrder,distFromSource,doubtful,earthquakeEventId,firstMotion,hour,housesDamagedAmountOrder,housesDestroyed,housesDestroyedAmountOrder,id,latitude,locationName,longitude,minute,month,publish,regionCode,runupHoriz,runupHt,sourceCauseCode,sourceEqMagnitude,sourceEventValidity,sourceOceanicTsunami,tsunamiEventId,typeMeasurementId,year
,GREECE,,,,3,66.67001671332667,n,17,,,,,,2,40.3,"POTIDAEA, MACEDONIA",23.33,,,True,50,,,1,7,2,True,9,1,-479
,GREECE,1,,,,42.51676218299879,n,5878,,,,,,3,38.675,ATALANTI ISLAND,23.096,,6,True,50,,,1,7.1,4,True,10,1,-426
,GREECE,,,,,142.51688479635027,n,5878,,,,,,4,40.173,CENEUM,22.487,,6,True,50,,,1,7.1,4,True,10,1,-426
,GREECE,,,,,22.333983218806615,n,5878,,,,,,5,38.747,DAPHNUS,22.867,,6,True,50,,,1,7.1,4,True,10,1,-426
,GREECE,,,,,91.65968294551325,n,5878,,,,,,6,39.12,SKOPELOS,23.72,,6,True,50,,,1,7.1,4,True,10,1,-426
,GREECE,,,,,44.58989350057096,n,5878,,,,,,7,38.633,OPOUS,23.0833,,6,True,50,800,,1,7.1,4,True,10,1,-426
,GREECE,2,,,,59.1454424970444,n,5883,,,,,2,9,36.167,ISLAND OF RHODES,28,,,True,50,,,1,7,3,True,27,1,142
,GREECE,2,,,,20.21041909742014,n,5883,,,,,2,10,36.58,ISLAND OF SYMI,27.83,,,True,50,,,1,7,3,True,27,1,142
,GREECE,2,,,,66.99143048753322,n,5883,,,,,2,11,36.8933,ISLAND OF KOS,27.2889,,,True,50,,,1,7,3,True,27,1,142
,GREECE,2,,,,315.8004967237638,n,5883,,,,,2,12,37.15,ISLAND OF SERIFOS,24.5,,,True,50,,,1,7,3,True,27,1,142
,GREECE,2,21,5000,4,200.2407585807033,n,95,,,,,,16,35.3,"KNOSSOS, CRETE",25.167,,7,True,50,,,1,8,4,True,38,1,365
,GREECE,2,21,,,377.5764470828519,n,95,,,,,,17,38.25,"ACHAEA, PELOPONNESUS",21.75,,7,True,50,,,1,8,4,True,38,1,365
,GREECE,1,21,,,233.2271120490051,n,95,,,,,,18,36.818,"METHONI, PELOPONNESUS",21.703,,7,True,50,,,1,8,4,True,38,1,365
,BULGARIA,3,,,3,324.099089238039,n,5889,,,,,,24,43.2167,ODESSOS (VARNA),27.9167,,,True,40,,,1,6.8,3,True,43,1,543
,BULGARIA,3,,,3,347.5090269673529,n,5889,,,,,,25,43.4167,DIONISIOUPOLIS (BALCHIK),28.1667,,,True,40,,,1,6.8,3,True,43,1,543
,CYPRUS,3,,,3,753.7728954961526,n,5889,,,,,,26,35.4041667,APHRODISIO,33.7416667,,,True,50,,,1,6.8,3,True,43,1,543
,TURKEY,,,,,107.74642144687846,n,5889,,,,,,27,39.583333,GULF OF EDREMIT,26.95,,,True,50,,,1,6.8,3,True,43,1,543
,TURKEY,,15,,,,n,5892,,,,,,32,,GULF OF ANTALYA,,,8,True,50,,,1,7,3,True,48,1,554
,GREECE,,15,,,10.401169129144574,n,5892,,,,,,33,36.8933,ISLAND OF KOS,27.2889,,8,True,50,,,1,7,3,True,48,1,554
MIE,JAPAN,,29,,,254.7009991563298,n,162,,,,,,34,33.917,ATASHIKA,136.15,,11,True,85,,3,1,8.4,4,True,53,1,684
KOCHI,JAPAN,,29,,,123.63412893231218,n,162,,,,,,35,33.51,TOSA,133.44,,11,True,85,,,1,8.4,4,True,53,1,684
KYOTO,JAPAN,,12,,,34.53634909503185,n,5894,,,,,,36,35.87,"TANGO, KYOTO",135.08,,5,True,85,,,1,7,4,True,54,1,701
,JAPAN,,2,,,,n,5895,,,,,,37,,KUMAMONADA,,,8,True,85,,,1,7,4,True,55,1,704
,TURKEY,,26,,,41.83153369412109,n,171,,,,,,38,41,THRACIAN COAST,29,,10,True,50,,,1,7.3,2,True,56,1,740
KUMAMOTO,JAPAN,3,30,1520,4,51.24757842607474,n,9810,,,,470,3,39,32.83,KUMAMOTO,130.7,,6,True,85,,,1,6.4,4,True,57,1,744
OSAKA,JAPAN,,9,,3,11.429870283392235,n,5896,,,,,,40,34.5,OSAKA BAY,135.33,,6,True,85,,,1,6.5,3,True,58,1,745
IBARAKI,JAPAN,,18,,,,n,,,,,,,42,36.58,HITACHI,140.67,,9,True,85,,2,0,,2,True,63,1,799
FUKUSHIMA,JAPAN,,13,,,300.72378516998765,n,247,,,,,,45,37.07,IWAKI,140.9,,7,True,85,,,1,8.6,4,True,74,1,869
MIYAGI,JAPAN,3,13,1000,3,243.13139693547646,n,247,,,,,3,46,38.267,SENDAI,141.033,,7,True,85,,,1,8.6,4,True,74,1,869
MIYAGI,JAPAN,1,13,,,245.58485412497976,n,247,,,,,,47,38.3,SHIOGAMA,141,,7,True,85,,,1,8.6,4,True,74,1,869
IWATE,JAPAN,,13,,,207.7942232761604,n,247,,,,,,48,39.74,RIKUCHU,142,,7,True,85,,,1,8.6,4,True,74,1,869
NIIGATA,JAPAN,,2,2000,4,95.86480307412461,n,5900,,,,,,49,37.92,S. COAST NIIGATA PREFECTURE,139.05,,8,True,85,,4,1,6.5,3,True,76,1,887
KANAGAWA,JAPAN,2,26,,,475.3404832722031,n,262,,,,,,50,35.3,HIYUGA,139.65,,8,True,85,,,1,8.6,4,True,77,1,887
OSAKA,JAPAN,2,26,,2,166.40006992242587,n,262,,,,,,51,34.5,OSAKA BAY,135.33,,8,True,85,,,1,8.6,4,True,77,1,887
SHIMANE,JAPAN,,16,1000,3,58.302615185299665,n,5902,,,,,,52,34.88,IWAMI COAST,132.43,,6,True,85,,10,1,7.5,3,True,83,1,1026
