area,causeCode,country,damageAmountOrder,damageAmountOrderTotal,damageMillionsDollars,damageMillionsDollarsTotal,day,deaths,deathsAmountOrder,deathsAmountOrderTotal,deathsTotal,earthquakeEventId,eqDepth,eqMagnitude,eventValidity,hour,housesDamaged,housesDamagedAmountOrder,housesDamagedAmountOrderTotal,housesDamagedTotal,housesDestroyed,housesDestroyedAmountOrder,housesDestroyedAmountOrderTotal,housesDestroyedTotal,id,injuries,injuriesAmountOrder,injuriesAmountOrderTotal,injuriesTotal,latitude,locationName,longitude,maxWaterHeight,minute,missing,missingAmountOrder,missingAmountOrderTotal,missingTotal,month,numDeposits,numRunups,oceanicTsunami,publish,regionCode,second,tsIntensity,tsMtAbe,tsMtIi,volcanoEventId,warningStatusId,year
,1,SYRIA,4,4,,,,,3,3,,2,,,1,,,,,,,,,,1,,,,,35.683,SYRIAN COASTS,35.8,,,,,,,,0,1,TRUE,TRUE,50,,6,,,,,-2000
,6,GREECE,3,3,,,,,3,3,,5877,,,4,,,,,,,,,,3,,,,,36.4,THERA ISLAND (SANTORINI),25.4,90,,,,,,,28,2,TRUE,TRUE,50,,6,,,1351,,-1610
,2,SYRIA,2,3,,,,,,,,9712,,,1,,,,,,,,,,4,,,,,35.683,SYRIAN COASTS,35.8,,,,,,,,0,1,TRUE,TRUE,50,,6,,,,,-1365
,0,TURKEY,,,,,,,,,,,,6,2,,,,,,,,,,5,,,,,39.96,"IONIAN COASTS, TROAD",26.24,,,,,,,,0,0,TRUE,TRUE,50,,5,,,,,-1300
,0,ISRAEL,,,,,,,,,,,,,2,,,,,,,,,,6,,,,,,ISRAEL AND LEBANON COASTS,,,,,,,,,0,0,TRUE,TRUE,50,,3,,,,,-760
,1,LEBANON,,,,,,,,,,7793,,,2,,,,,,,,,,7,,,,,33.27,LEBANON COASTS,35.22,,,,,,,,0,0,TRUE,TRUE,50,,6,,,,,-590
,1,LEBANON,,,,,,,,,,7794,,,2,,,,,,,,,,8,,,,,33.56,LEBANON COASTS,35.37,,,,,,,,0,0,TRUE,TRUE,50,,3,,,,,-525
,1,GREECE,,,,,,,3,3,,17,,7,2,,,,,,,,,,9,,,,,39.7,NORTH AEGEAN,23.3,,,,,,,,1,1,TRUE,TRUE,50,,3,,,,,-479
,1,GREECE,2,3,,,,,3,4,2500,5878,,7.1,4,,,,,,,2,3,,10,,,,,38.9,CORINTHOS-PATRAS GULF,22.7,,,,,,,6,0,12,TRUE,TRUE,50,,5,,,,,-426
,3,GREECE,3,3,,,,,3,3,,20,,7.3,4,,,,,,,3,3,,11,,,,,38.25,CORINTHOS-PATRAS GULF,22.25,,,,,,,,1,1,TRUE,TRUE,50,,5,,,,,-373
,1,GREECE,,,,,,,,,,22,,7,1,,,,,,,,,,12,,,,,40,"E. SPORADES ISLANDS, AEGEAN ISLANDS",25,,,,,,,,0,0,TRUE,TRUE,50,,,,,,,-330
,0,ISRAEL,,,,,,,3,3,,,,,2,,,,,,,,,,15,,,,,33,ISRAEL AND LEBANON COASTS,35,,,,,,,,0,3,TRUE,TRUE,50,,3,,,,,-138
,0,EGYPT,,,,,,,,,,7796,,,3,,,,,,,,,,19,,,,,,ALEXANDRIA,,,,,,,,,0,2,TRUE,TRUE,50,,3,,,,,-23
,6,GREECE,,,,,,,,,,,,6.2,4,,,,,,,,,,21,,,,,36.404,THERA ISLAND (SANTORINI),25.396,,,,,,,,0,0,TRUE,TRUE,50,,3,,,4904,,46
,0,CHINA,,,,,,,,,,,,,1,,,,,,,,,,22,,,,,37.5,"LAIZHOU BAY, BOHAI SEA",119.5,,,,,,,9,0,0,TRUE,TRUE,84,,,,,,,-47
,1,GREECE,,,,,,,,,,5880,,6.9,2,,,,,,,,,,23,,,,,35.2,CRETE,25.1,,,,,,,,0,1,TRUE,TRUE,50,,3,,,,,62
,1,CYPRUS,,3,,,20,,,,,57,,6.3,1,,,,,,,,3,,26,,,,,34.8,LEVANTIAN SEA,32,,,,,,,6,0,0,TRUE,TRUE,50,,4,,,,,76
,1,GREECE,2,3,,,,,,,,5883,,7,3,,,,,,,2,3,,27,,,,,36.7,DODECANESE ISLANDS,28,,,,,,,,0,4,TRUE,TRUE,50,,4,,,,,142
,1,CHINA,,,,,28,,,,,5884,,,2,,,,,,,,,,29,,,,,37.5,"LAIZHOU BAY, BOHAI SEA",120,,,,,,,6,0,3,TRUE,TRUE,84,,1,,1,,,173
,1,TURKEY,,2,,,,,3,3,,8199,,,1,,,,,,,,3,,31,,,,,36.6,SOUTH COASTS OF ASIA MINOR,30,,,,,,,,0,0,TRUE,TRUE,50,,4,,,,,262
,1,DEAD SEA,,,,,,,,,,9988,,,1,,,,,,,,,,32,,,,,31.7,DEAD SEA,35.5,,,,,,,,0,0,TRUE,TRUE,50,,3,,,,,315
,1,CYPRUS,,4,,,,,,4,40000,81,,,1,,,,,,,,,,34,,,,,36.2,CYPRUS ISLAND,36.1,,,,,,,,0,1,TRUE,TRUE,50,,,,,,,341
,1,TURKEY,,,,,,,,,,84,,,-1,,,,,,,,,,35,,,,,40.3,"MARMARA SEA, DARDANELLES",26.5,,,,,,,,0,0,TRUE,TRUE,50,,,,,,,344
,1,LEBANON,,3,,,,,,,,86,,,1,,,,,,,,,,36,,,,,33.9,LEVANTIAN SEA,35.5,,,,,,,,0,3,TRUE,TRUE,50,,3,,,,,348
,1,JORDAN,3,3,,,24,,,,,92,,,2,,,,,,,,,,37,,,,,31.3,DEAD SEA,35.6,,,,,,,5,0,0,TRUE,TRUE,50,,3,,,,,362
,1,GREECE,4,4,,,21,5000,4,4,5000,95,70,8,4,,,,,,,3,3,,38,,,,,35,CRETE,23,,,,,,,7,6,11,TRUE,TRUE,50,,4,,,,,365
,6,INDONESIA,4,4,,,,,3,3,,,,,2,,,,,,,,,,39,,,,,-6.102,JAVA-S. JAVA,105.423,,,,,,,,0,4,TRUE,TRUE,60,,3.5,,2,4562,,416
,1,GREECE,,,,,,,,,,,,,-1,,,,,,,,,,40,,,,,,GULF OF EUBOEA,,,,,,,,,0,0,TRUE,TRUE,50,,,,,,,426
,1,TURKEY,,3,,,26,,,3,,5887,,7.3,1,,,,,,,,3,,41,,,,,40.9,MARMARA SEA,28.5,,,,,,,1,0,1,TRUE,TRUE,50,,4,,,,,447
,1,TURKEY,3,3,,,,,3,3,,5889,,6.8,3,,,,,,,,,,43,,,,,40.3,BLACK SEA,27.8,,,,,,,,0,4,TRUE,TRUE,50,,4,,,,,543
,3,GREECE,,,,,,,,,,10058,,7.1,2,,,,,,,,,,46,,,,,38.4,ETOLIA,22.3,,,,,,,4,1,4,TRUE,TRUE,50,,4,,,,,551
,1,TURKEY,1,4,,,9,,,4,,139,,7.8,4,,,,,,,,,,47,,,,,40.8,LEVANTIAN SEA,29.9,,,,,,,7,0,1,TRUE,TRUE,50,,3,,,,,551
,1,GREECE,3,2,,,15,,3,3,,5892,,7,3,,,2,2,,,2,2,,48,,,,,36.8,ISLAND OF KOS,27.3,,,,,,,8,0,3,TRUE,TRUE,50,,4,,,,,554
,1,TURKEY,,,,,14,,,,,146,,7,2,,,,,,,,,,49,,,,,40.9,"MARMARA SEA, STRAIT OF BOSPORUS",28.8,,,,,,,12,0,0,TRUE,TRUE,50,,,,,,,558
,1,JAPAN,3,3,,,29,,3,3,,162,,8.4,4,,,,,,,,,,53,,,,,32.5,NANKAIDO,134,3,,,,,,11,2,2,TRUE,TRUE,85,,1,,1.6,,,684
,1,JAPAN,3,3,,,12,,,,,5894,,7,4,,,,,,,,,,54,,,,,35.7,SEA OF JAPAN,135.4,,,,,,,5,0,1,TRUE,TRUE,85,,1,,2,,,701
,1,JAPAN,,,,,2,,,,,5895,,7,4,,,,,,,,,,55,,,,,33.8,KUMANONADA,136.7,,,,,,,8,0,1,TRUE,TRUE,85,,2,,2,,,704
,1,TURKEY,,3,,,26,,,3,,171,,7.3,2,,,,,,,,3,,56,,,,,40.7,MARMARA SEA,29.3,,,,,,,10,0,2,TRUE,TRUE,50,,3,,,,,740
,1,JAPAN,2,3,,,30,1520,4,4,1520,9810,,6.4,4,,,,,,470,2,3,470,57,,,,,32.4,SW. KYUSHU ISLAND,130.5,,,,,,,6,0,1,TRUE,TRUE,85,,2,,2,,,744
,1,JAPAN,,,,,9,,3,3,,5896,,6.5,3,,,,,,,,,,58,,,,,34.6,"OSAKA BAY, JAPAN",135.3,,,,,,,6,0,1,TRUE,TRUE,85,,1,,1,,,745
,1,SYRIA,1,3,,,18,,,3,,177,,7,3,,,,,,,,,,59,,,,,32,SYRIAN and EGYPTIAN COASTS,35.5,,,,,,,1,1,2,TRUE,TRUE,50,,3,,,,,746
,6,JAPAN,,,,,20,,3,3,,7341,,6.5,4,,,,,,,,,,61,,,,,31.6,N. KAGOSHIMA BAY,130.7,,,,,,,7,0,1,TRUE,TRUE,85,,1.5,,1.5,844,,766
,1,ITALY,,,,,30,,,,,,,,1,,,,,,,,,,62,,,,,45.5,GULF OF VENICE,11,,,,,,,4,0,1,TRUE,TRUE,50,,3,,,,,792
,0,JAPAN,,,,,18,,,,,,,,2,,,,,,,,,,63,,,,,,"KASHIMA, JAPAN",,2,,,,,,9,0,4,TRUE,TRUE,85,,1,,1,,,799
,1,TURKEY,,1,,,19,,,,,5897,,,2,,,,3,,,,2,,64,,,,,36.95,GULF OF ISKENDERUN,35.6,,,,,,,12,0,0,TRUE,TRUE,50,,3,,,,,803
,3,JAPAN,,,,,,,3,3,,5898,,7.9,4,,,,,,,,,,66,,,,,35.2,TOKAIDO,139.3,,,,,,,8,0,1,TRUE,TRUE,85,,1,,2,,,818
