latitude,longitude,elevation
33.917,136.15,72.0
37.92,139.05,22.0
34.88,132.43,249.0
34.62,137.11,12.0
34.717,136.517,8.0
36.167,28.0,81.0
35.309,139.55,9.0
34.517,136.75,8.0
10.483,-64.2,0.0
10.817,-64.183,41.0
10.627,-62.167,0.0
38.45,141.6,0.0
38.72,141.45,259.0
33.3,131.5,10.0
33.2411,131.8722,20.0
-36.733,-72.983,34.0
33.533,134.3,0.0
34.06,134.6,10.0
33.3833,134.2167,0.0
33.2833,134.15,0.0
33.567,134.317,0.0
-4.55,129.867,101.0
-3.683,128.187,10.0
33.284,131.493,44.0
19.08185,46.856593,647.0
-3.25,127.72,57.0
-3.3,128.05,76.0
-3.63,128.44,29.0
39.65,141.983,0.0
35.75,140.867,0.0
33.1,139.77,6.0
35.21617,140.38776,40.0
35.15,140.317,11.0
36.933,140.9,0.0
38.13,140.87,10.0
36.97,140.83,50.0
36.4833,140.6167,7.0
35.25,140.4,8.0
35.1833,140.3667,24.0
38.3,141.5,69.0
39.267,141.883,10.0
26.167,127.833,0.0
17.917,-76.867,0.0
34.3,129.3,36.0
34.917,139.817,0.0
35.089,139.069,50.0
35.1,138.9,17.0
34.95,139.95,97.0
35.6,140.1,12.0
35.65,139.8,0.0
35.1,140.1,9.0
34.81,139.08,0.0
35.17,140.33,57.0
35.15,140.18,133.0
35.22,139.72,0.0
35.0775,140.10419,7.0
35.256,139.16,14.0
35.5,139.6,12.0
34.783,139.383,100.0
34.667,138.95,0.0
35.046089,139.073589,16.0
35.62,139.73,15.0
34.983,139.85,12.0
35.7,140.85,26.0
35.347,140.377,20.0
35.0,139.08,73.0
35.54,140.02,0.0
33.267,134.167,95.0
34.63,138.18,16.0
34.483,136.817,8.0
-36.74,-73.0,20.0
38.45,141.45,33.0
16.833,-99.917,85.0
35.53,140.42,10.0
55.0,166.2,183.0
52.97,158.5,0.0
50.75,156.33,105.0
39.35,141.917,0.0
38.9,141.57,40.0
14.74,-61.18,0.0
19.217,-69.317,165.0
36.15,-5.35,7.0
38.53,-28.63,33.0
38.65,-27.12,41.0
50.4,-4.117,65.0
50.167,-5.417,67.0
50.033,-5.417,0.0
50.1,-5.5536,79.0
50.117,-5.55,16.0
32.64,-16.94,124.0
17.12,-61.78,13.0
13.083,-59.617,0.0
15.567,-61.45,64.0
17.633333,-63.233333,558.0
18.083,-63.083,6.0
32.924,35.073,10.0
54.72,-5.73,0.0
49.916,-6.316,0.0
51.666,-8.52,0.0
38.68333,-9.31666,16.0
13.167,-59.533,255.0
40.533,141.533,0.0
40.183,141.8,58.0
-4.55,129.9,80.0
26.25,127.31,27.0
45.9,150.14,0.0
18.217,-78.133,10.0
16.2,-95.0,9.0
55.49,-161.46,20.0
57.13,-153.48,0.0
32.68,130.32,69.0
32.65,130.25,8.0
32.8,130.35,42.0
32.85,130.14,8.0
32.93,130.45,6.0
32.872,130.308,5.0
39.017,141.75,0.0
39.3,141.9,0.0
-12.05,-77.15,0.0
33.94,134.67,8.0
-33.033,-71.633,62.0
34.47,-120.2,0.0
34.42,-119.68,7.0
34.27,-119.28,7.0
19.38,-155.9,7.0
-8.11,115.09,15.0
-8.467,118.717,0.0
38.75,139.733,174.0
-36.5333,-72.933333,45.0
-36.7258,-73.0533,0.0
-33.617,-78.833,0.0
-36.63735,-73.05999,11.0
-36.7167,-73.1167,39.0
-36.617,-72.95,32.0
39.03,141.87,0.0
39.0167,141.6333,10.0
-14.2766,-170.689,0.0
19.733,-155.067,0.0
21.3,-157.867,9.0
20.88,-156.68,14.0
-13.83,-171.767,13.0
53.01667,158.65,12.0
-4.529,129.9,14.0
19.933,-72.867,5.0
18.47,-69.95,45.0
17.766,-64.748,51.0
17.12,-61.85,0.0
43.0356,144.8525,65.0
41.783,140.733,7.0
43.283,145.567,5.0
42.95,144.08,0.0
-39.934,175.028,15.0
-41.29,174.78,13.0
13.276,144.743,12.0
-29.95,-71.3353,0.0
36.62,29.13,17.0
-27.067,-70.833,48.0
-28.467,-71.22,42.0
40.472,19.474,7.0
