@relation 'tsunami_train-weka.filters.unsupervised.attribute.NumericToNominal-R13,15,17,19-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-9,11-12,14,17-18,20,25'

@attribute distFromSource numeric
@attribute hour numeric
@attribute minute numeric
@attribute regionCode {30,40,50,60,70,71,73,74,75,76,77,80,81,82,83,84,85,86,87,88,89}
@attribute sourceCauseCode {0,1,3,4,5,6,9}
@attribute sourceEqMagnitude numeric
@attribute typeMeasurementId {0,1,2,3,4,5,7,8,9,10}
@attribute eqMagMb numeric
@attribute eqMagMs numeric
@attribute intensity numeric
@attribute eqDepth numeric
@attribute logrunupHt {m,s,l}

@data
93.974771,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
3625.880124,13,3,80,1,7.5,2,6.4,7.3,8.530885,71,s
105.809801,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
9374.976591,3,4,82,1,7.7,2,6.5,7.5,8.530885,14,s
278.974426,9,22,85,1,7.4,2,6.3,7.2,10,56,s
15168.63401,18,35,88,1,8.1,2,6.88237,8.009683,8.530885,48,s
410.716676,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
60.08779,6,34,89,1,8.8,4,7.2,8.5,9,22,l
3386.488973,23,24,85,1,8.8,2,7,8,8,35,s
1815.346491,0,58,60,1,9.1,5,7,8.8,8.530885,30,m
105.839584,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
1500.484746,22,58,85,1,8.3,2,6.88237,8.009683,10,40,s
9.662783,7,10,85,3,7.5,4,6.9,7.2,9,10,m
2852.941384,16,58,85,1,9,2,6.88237,8.5,7,22,s
498.085947,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
5373.642172,15,31,80,1,7.2,2,6.88237,7.2,10,20,s
402.642098,15,29,88,1,7.4,2,6.88237,8.009683,8.530885,26,s
75.233341,5,59,83,3,8.2,5,6.5,8.1,9,33,m
90.395301,7,10,85,3,7.5,5,6.9,7.2,9,10,l
251.991797,20,46,85,1,7.7,2,6.88237,8.009683,8.530885,40,s
16403.22901,22,54,86,1,8.3,2,6.88237,8.009683,9,22,s
286.583925,1,22,85,1,8.1,1,6.88237,8.3,9,45,m
3051.311745,14,37,85,1,7.6,2,6.88237,8.009683,7,32,s
206.350046,17,48,81,1,8.1,5,7.1,8.1,8.530885,18,l
3973.369408,5,1,85,1,8.7,2,7.7,7.8,6,30,s
521.194193,0,58,60,1,9.1,5,7,8.8,8.530885,30,m
120.622361,2,59,85,1,7.8,1,6.8,7.7,8,24,m
132.556953,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
2725.499726,0,42,85,1,7.5,2,6.88237,7.5,7,30,s
1856.741723,13,22,85,1,8.3,2,7.3,8.1,9,14,s
17435.40081,22,54,84,1,8.3,2,6.88237,8.009683,9,22,s
204.331941,17,48,81,1,8.1,5,7.1,8.1,8.530885,18,m
2725.499726,7,6,81,1,6.9,1,6.88237,7.2,8.530885,12,m
125.131792,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
13.319833,7,10,85,3,7.5,5,6.9,7.2,9,10,m
260.175115,17,31,85,1,8.4,1,6.88237,8.5,8.530885,15,m
75.216027,4,1,85,1,7.5,1,6.88237,8.009683,5,40,s
814.91989,5,46,85,1,9.1,2,7.2,8.3,8.530885,29,s
78.436151,18,6,88,1,7.2,2,6.3,7.1,8,15,s
3004.792963,23,46,89,1,8.2,2,6.88237,8.009683,8,25,s
187.721147,0,16,88,1,7.6,5,5.4,7.7,8.530885,30,l
180.302681,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
1289.257242,14,37,81,1,7.6,2,6.88237,8.009683,7,32,s
209.294202,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
126.683667,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
9427.918016,1,12,88,1,7.9,2,6.4,7.4,8,24,s
438.457184,6,8,60,1,8.3,1,7,8,8.530885,25,m
8278.735155,17,31,88,1,8.4,2,6.88237,8.5,8.530885,15,s
3785.279398,12,29,80,3,8.6,5,6.88237,7.3,6,15,l
9579.990506,5,46,81,1,9.1,5,7.2,8.3,8.530885,29,m
145.387778,12,51,89,1,7.5,5,5.8,6.6,4,10,s
820.343504,4,49,88,1,8.2,3,6.88237,8.009683,9,47,s
163.006369,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
13170.25599,5,46,89,1,9.1,5,7.2,8.3,8.530885,29,s
65.424268,10,2,83,3,7.5,10,6.88237,8.009683,9,20,m
15.380173,14,47,80,3,7.7,1,6,7.2,9,2,l
2594.626319,12,1,73,1,8.5,1,6.88237,8.5,9,26.742663,s
2493.44286,0,58,60,1,9.1,4,7,8.8,8.530885,30,m
3960.392981,5,1,85,1,8.7,2,7.7,7.8,6,30,s
168.896053,17,48,81,1,8.1,5,7.1,8.1,8.530885,18,m
98.546125,7,10,85,3,7.5,4,6.9,7.2,9,10,m
124.502304,5,46,85,1,9.1,5,7.2,8.3,8.530885,29,l
70.190493,12,19,85,1,6.8,2,6.88237,8.009683,8.530885,36,s
5762.763793,19,42,85,1,7.9,2,5.8,7.9,8.530885,33,s
187.268163,6,32,85,1,6.4,2,6,6.4,8.530885,10,s
516.128856,5,46,85,1,9.1,2,7.2,8.3,8.530885,29,s
10794.29133,20,33,87,1,8.4,2,6.7,8.2,8,33,s
241.128834,18,17,60,1,7.8,4,5.7,7.2,8.530885,18,m
195.360368,8,19,60,1,7.7,4,6.1,7.2,8.530885,20,l
1587.4294,11,14,85,1,8.3,2,6.5,7.8,8.530885,10,s
181.744785,22,54,89,1,8.3,10,6.88237,8.009683,9,22,m
178.756304,2,59,85,1,7.8,1,6.8,7.7,8,24,m
95.045272,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
1586.018508,16,58,87,1,9,2,6.88237,8.5,7,22,s
1947.070848,10,57,81,1,7.8,2,6.88237,7.8,7,26.742663,s
81.506065,4,1,85,1,7.5,1,6.88237,8.009683,5,40,s
158.890707,2,50,88,1,7.2,2,6.2,7.1,4,10,s
205.686694,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
261.336955,12,25,50,3,7.1,2,6.5,7.7,10,10,s
89.55933,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
236.991179,0,48,85,1,8.2,2,6.88237,8.009683,6,7,s
11189.90327,19,11,81,1,9.5,1,6.88237,8.5,12,33,s
202.279042,8,19,60,1,7.7,4,6.1,7.2,8.530885,20,m
38.910851,6,34,89,1,8.8,5,7.2,8.5,9,22,l
18.65668,22,36,82,1,7.1,5,6.4,7.1,8.530885,25,l
152.971553,1,14,85,1,6.9,2,6.88237,8.009683,8.530885,10,s
2398.993387,10,51,82,1,7.9,2,6.88237,8.009683,8,95,s
268.16894,4,18,82,1,7.5,2,6.88237,8.009683,8.530885,10,s
71.851385,19,50,85,1,8.3,5,6.9,8.1,8.530885,27,m
181.383154,22,54,89,1,8.3,10,6.88237,8.009683,9,22,s
9144.46884,6,34,88,1,8.8,1,7.2,8.5,9,22,s
124.245659,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
521.246533,0,42,85,1,7.5,2,6.88237,7.5,7,30,s
1134.576254,3,36,87,3,9.2,1,6.88237,8.4,10,25,s
172.181606,4,35,85,1,8.1,1,6.88237,8,8.530885,30,m
178.743713,22,54,89,1,8.3,5,6.88237,8.009683,9,22,m
93.574242,6,34,89,1,8.8,4,7.2,8.5,9,22,l
633.936936,0,58,60,1,9.1,5,7,8.8,8.530885,30,m
188.789139,14,57,85,1,7.4,2,6.2,7.1,8.530885,10,s
43.547769,19,31,88,1,6.4,2,6.88237,7,8.530885,35,s
1021.829387,2,59,85,1,7.8,2,6.8,7.7,8,24,s
3321.576601,11,14,87,1,8.3,2,6.5,7.8,8.530885,10,s
2725.499726,0,48,85,1,8.2,2,6.88237,8.009683,6,7,s
202.247384,8,19,60,1,7.7,4,6.1,7.2,8.530885,20,m
1052.288675,0,58,60,1,9.1,5,7,8.8,8.530885,30,m
182.807899,22,54,89,1,8.3,10,6.88237,8.009683,9,22,m
17840.31112,22,54,85,1,8.3,2,6.88237,8.009683,9,22,s
350.768515,11,7,88,1,7.6,2,6.5,7.6,8.530885,49,s
75.48049,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
22.571134,11,51,50,1,7,5,6.88237,8.009683,8,21,m
97.25833,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,s
3567.510061,14,22,80,1,8.6,5,6.88237,9.1,8.530885,33,m
223.45319,0,42,85,1,7.5,2,6.88237,7.5,7,30,s
97.291364,23,40,89,1,8,5,6.7,7.9,8,39,m
65.554082,10,37,86,1,6.8,2,6.2,7,8.530885,33,s
181.513742,22,54,89,1,8.3,10,6.88237,8.009683,9,22,m
212.15381,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
13.776877,19,15,84,1,7.1,5,6.1,7.1,8.530885,32,m
7560.165945,5,46,88,1,9.1,2,7.2,8.3,8.530885,29,m
16968.01073,19,11,85,1,9.5,1,6.88237,8.5,12,33,m
1480.914953,8,38,60,1,8.6,2,7.4,8.5,8.530885,20,s
135.878244,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
17030.72926,19,11,85,1,9.5,1,6.88237,8.5,12,33,m
2725.499726,0,48,85,1,8.2,1,6.88237,8.009683,6,7,m
2725.499726,1,22,85,1,8.1,1,6.88237,8.3,9,45,s
434.867132,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,s
7823.770131,23,46,88,1,8.2,3,6.88237,8.009683,8,25,s
1672.113043,23,24,85,1,8.8,2,7,8,8,35,s
