distFromSource,doubtful,hour,minute,regionCode,sourceEqMagnitude,typeMeasurementId,eqMagMb,eqMagMs,intensity,eqDepth,logrunupHt
4254.802748,n,3,4,80,7.7,2,6.5,7.5,8.530885,14,s
2503.730325,n,0,58,60,9.1,5,7,8.8,8.530885,30,s
6306.34133,n,5,46,80,9.1,5,7.2,8.3,8.530885,29,m
3655.033987,n,12,29,80,8.6,1,6.88237,7.3,6,15,l
181.451615,n,22,54,89,8.3,10,6.88237,8.009683,9,22,s
92.490226,n,7,10,85,7.5,5,6.9,7.2,9,10,l
2059.996519,n,5,46,86,9.1,2,7.2,8.3,8.530885,29,s
124.004793,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
96.081275,n,14,42,60,7.8,4,6.5,7.3,8.530885,20,m
180.244124,n,16,9,60,8.6,5,7.2,8.4,8.530885,30,m
193.472473,n,2,31,83,7.1,2,6.88237,8.009683,5,45,s
983.661312,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,m
257.854482,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
125.488654,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
5.746122,n,0,20,50,5.9,1,6.88237,5.9,8,6,l
182.589891,n,22,54,89,8.3,10,6.88237,8.009683,9,22,m
17006.97201,n,19,11,85,9.5,1,6.88237,8.5,12,33,m
246.552277,n,21,0,82,7.5,2,7.4,7.1,8.530885,60,s
338.317483,n,1,22,85,8.1,1,6.88237,8.3,9,45,m
1498.067978,n,3,55,85,7.7,2,6.5,7.7,8,48,s
234.162622,n,8,19,60,7.7,4,6.1,7.2,8.530885,20,l
80.256887,n,22,40,83,8.3,1,6.88237,8.3,9,100,m
189.012802,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
1617.289665,n,0,58,60,9.1,4,7,8.8,8.530885,30,l
124.935162,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
922.149241,n,22,55,81,7.2,2,6.88237,8.009683,8.530885,34,s
2108.028318,n,0,58,60,9.1,4,7,8.8,8.530885,30,m
2789.132254,m,10.1087,35.732291,85,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
2789.132254,n,5,29,60,7.8,5,6.5,7.5,11,28,m
8731.72808,n,4,14,86,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
127.808673,n,14,42,60,7.8,10,6.5,7.3,8.530885,20,s
162.675977,n,7,20,85,6.8,2,6.88237,8.009683,8.530885,40,s
143.566781,n,2,58,85,7.9,2,6.88237,7.9,8.530885,35,s
17028.74377,n,19,11,85,9.5,1,6.88237,8.5,12,33,m
2789.132254,n,2,58,85,7.9,2,6.88237,7.9,8.530885,35,s
181.343124,n,22,54,89,8.3,10,6.88237,8.009683,9,22,s
5911.476412,n,12,2,85,7.7,2,6.4,7.9,8.530885,33,s
111.378733,n,10,29,60,6.7,2,6.4,6.7,5,19,s
1197.531281,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
