@relation 'tsunami_train-weka.filters.unsupervised.attribute.NumericToNominal-R13,15,17,19-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14,17-20'

@attribute distFromSource numeric
@attribute regionCode {30,40,50,60,71,73,74,75,76,77,80,81,82,83,84,85,86,87,88,89}
@attribute sourceCauseCode {0,1,3,4,5,6,9}
@attribute sourceEqMagnitude numeric
@attribute eqMagMb numeric
@attribute eqMagMs numeric
@attribute intensity numeric
@attribute eqDepth numeric
@attribute elevation numeric
@attribute logrunupHt {m,s,l}

@data
93.974771,85,1,9.1,7.2,8.3,8.530885,29,6,m
3625.880124,80,1,7.5,6.4,7.3,8.530885,71,6,s
105.809801,85,1,9.1,7.2,8.3,8.530885,29,9,l
9374.976591,82,1,7.7,6.5,7.5,8.530885,14,0,s
278.974426,85,1,7.4,6.3,7.2,10,56,0,s
15168.63401,88,1,8.1,6.88237,8.009683,8.530885,48,4,s
410.716676,85,1,9.1,7.2,8.3,8.530885,29,5,m
60.08779,89,1,8.8,7.2,8.5,9,22,10,l
3386.488973,85,1,8.8,7,8,8,35,10,s
1815.346491,60,1,9.1,7,8.8,8.530885,30,7,m
105.839584,85,1,9.1,7.2,8.3,8.530885,29,11,l
1500.484746,85,1,8.3,6.88237,8.009683,10,40,8,s
9.662783,85,3,7.5,6.9,7.2,9,10,5,m
2852.941384,85,1,9,6.88237,8.5,7,22,9,s
498.085947,85,1,9.1,7.2,8.3,8.530885,29,8,m
5373.642172,80,1,7.2,6.88237,7.2,10,20,11,s
402.642098,88,1,7.4,6.88237,8.009683,8.530885,26,0,s
75.233341,83,3,8.2,6.5,8.1,9,33,8,m
90.395301,85,3,7.5,6.9,7.2,9,10,9,l
251.991797,85,1,7.7,6.88237,8.009683,8.530885,40,26,s
16403.22901,86,1,8.3,6.88237,8.009683,9,22,0,s
286.583925,85,1,8.1,6.88237,8.3,9,45,53,m
3051.311745,85,1,7.6,6.88237,8.009683,7,32,0,s
206.350046,81,1,8.1,7.1,8.1,8.530885,18,22,l
3973.369408,85,1,8.7,7.7,7.8,6,30,0,s
521.194193,60,1,9.1,7,8.8,8.530885,30,0,m
120.622361,85,1,7.8,6.8,7.7,8,24,0,m
132.556953,85,1,9.1,7.2,8.3,8.530885,29,8,m
2725.499726,85,1,7.5,6.88237,7.5,7,30,647,s
1856.741723,85,1,8.3,7.3,8.1,9,14,91,s
17435.40081,84,1,8.3,6.88237,8.009683,9,22,7,s
204.331941,81,1,8.1,7.1,8.1,8.530885,18,18,m
2725.499726,81,1,6.9,6.88237,7.2,8.530885,12,647,m
125.131792,85,1,9.1,7.2,8.3,8.530885,29,8,m
13.319833,85,3,7.5,6.9,7.2,9,10,8,m
260.175115,85,1,8.4,6.88237,8.5,8.530885,15,48,m
75.216027,85,1,7.5,6.88237,8.009683,5,40,7,s
814.91989,85,1,9.1,7.2,8.3,8.530885,29,14,s
78.436151,88,1,7.2,6.3,7.1,8,15,91,s
3004.792963,89,1,8.2,6.88237,8.009683,8,25,15,s
187.721147,88,1,7.6,5.4,7.7,8.530885,30,7,l
180.302681,85,1,9.1,7.2,8.3,8.530885,29,7,l
1289.257242,81,1,7.6,6.88237,8.009683,7,32,0,s
209.294202,85,1,9.1,7.2,8.3,8.530885,29,5,l
126.683667,85,1,9.1,7.2,8.3,8.530885,29,10,l
9427.918016,88,1,7.9,6.4,7.4,8,24,12,s
438.457184,60,1,8.3,7,8,8.530885,25,7,m
8278.735155,88,1,8.4,6.88237,8.5,8.530885,15,0,s
3785.279398,80,3,8.6,6.88237,7.3,6,15,0,l
9579.990506,81,1,9.1,7.2,8.3,8.530885,29,9,m
145.387778,89,1,7.5,5.8,6.6,4,10,8,s
820.343504,88,1,8.2,6.88237,8.009683,9,47,23.263212,s
163.006369,85,1,9.1,7.2,8.3,8.530885,29,11,l
13170.25599,89,1,9.1,7.2,8.3,8.530885,29,5,s
65.424268,83,3,7.5,6.88237,8.009683,9,20,17,m
15.380173,80,3,7.7,6,7.2,9,2,0,l
2594.626319,73,1,8.5,6.88237,8.5,9,26.742663,39,s
2493.44286,60,1,9.1,7,8.8,8.530885,30,0,m
3960.392981,85,1,8.7,7.7,7.8,6,30,9,s
168.896053,81,1,8.1,7.1,8.1,8.530885,18,9,m
98.546125,85,3,7.5,6.9,7.2,9,10,0,m
124.502304,85,1,9.1,7.2,8.3,8.530885,29,10,l
70.190493,85,1,6.8,6.88237,8.009683,8.530885,36,91,s
5762.763793,85,1,7.9,5.8,7.9,8.530885,33,0,s
187.268163,85,1,6.4,6,6.4,8.530885,10,0,s
516.128856,85,1,9.1,7.2,8.3,8.530885,29,81,s
10794.29133,87,1,8.4,6.7,8.2,8,33,0,s
241.128834,60,1,7.8,5.7,7.2,8.530885,18,0,m
195.360368,60,1,7.7,6.1,7.2,8.530885,20,14,l
1587.4294,85,1,8.3,6.5,7.8,8.530885,10,0,s
181.744785,89,1,8.3,6.88237,8.009683,9,22,15,m
178.756304,85,1,7.8,6.8,7.7,8,24,0,m
95.045272,85,1,9.1,7.2,8.3,8.530885,29,8,l
1586.018508,87,1,9,6.88237,8.5,7,22,8,s
1947.070848,81,1,7.8,6.88237,7.8,7,26.742663,18,s
81.506065,85,1,7.5,6.88237,8.009683,5,40,27,s
158.890707,88,1,7.2,6.2,7.1,4,10,0,s
205.686694,85,1,9.1,7.2,8.3,8.530885,29,6,l
261.336955,50,3,7.1,6.5,7.7,10,10,30,s
89.55933,85,1,9.1,7.2,8.3,8.530885,29,12,l
236.991179,85,1,8.2,6.88237,8.009683,6,7,0,s
11189.90327,81,1,9.5,6.88237,8.5,12,33,8,s
202.279042,60,1,7.7,6.1,7.2,8.530885,20,11,m
38.910851,89,1,8.8,7.2,8.5,9,22,0,l
18.65668,82,1,7.1,6.4,7.1,8.530885,25,16,l
152.971553,85,1,6.9,6.88237,8.009683,8.530885,10,0,s
2398.993387,82,1,7.9,6.88237,8.009683,8,95,0,s
268.16894,82,1,7.5,6.88237,8.009683,8.530885,10,7,s
71.851385,85,1,8.3,6.9,8.1,8.530885,27,6,m
181.383154,89,1,8.3,6.88237,8.009683,9,22,21,s
9144.46884,88,1,8.8,7.2,8.5,9,22,7,s
124.245659,85,1,9.1,7.2,8.3,8.530885,29,4,l
521.246533,85,1,7.5,6.88237,7.5,7,30,4,s
1134.576254,87,3,9.2,6.88237,8.4,10,25,7,s
172.181606,85,1,8.1,6.88237,8,8.530885,30,38,m
178.743713,89,1,8.3,6.88237,8.009683,9,22,11,m
93.574242,89,1,8.8,7.2,8.5,9,22,14,l
633.936936,60,1,9.1,7,8.8,8.530885,30,8,m
188.789139,85,1,7.4,6.2,7.1,8.530885,10,7,s
43.547769,88,1,6.4,6.88237,7,8.530885,35,0,s
1021.829387,85,1,7.8,6.8,7.7,8,24,0,s
3321.576601,87,1,8.3,6.5,7.8,8.530885,10,15,s
2725.499726,85,1,8.2,6.88237,8.009683,6,7,647,s
202.247384,60,1,7.7,6.1,7.2,8.530885,20,10,m
1052.288675,60,1,9.1,7,8.8,8.530885,30,0,m
182.807899,89,1,8.3,6.88237,8.009683,9,22,24,m
17840.31112,85,1,8.3,6.88237,8.009683,9,22,0,s
350.768515,88,1,7.6,6.5,7.6,8.530885,49,0,s
75.48049,85,1,9.1,7.2,8.3,8.530885,29,8,l
22.571134,50,1,7,6.88237,8.009683,8,21,6,m
97.25833,85,1,9.1,7.2,8.3,8.530885,29,7,s
3567.510061,80,1,8.6,6.88237,9.1,8.530885,33,10,m
223.45319,85,1,7.5,6.88237,7.5,7,30,124,s
97.291364,89,1,8,6.7,7.9,8,39,9,m
65.554082,86,1,6.8,6.2,7,8.530885,33,0,s
181.513742,89,1,8.3,6.88237,8.009683,9,22,17,m
212.15381,85,1,9.1,7.2,8.3,8.530885,29,10,l
13.776877,84,1,7.1,6.1,7.1,8.530885,32,0,m
7560.165945,88,1,9.1,7.2,8.3,8.530885,29,0,m
16968.01073,85,1,9.5,6.88237,8.5,12,33,62,m
1480.914953,60,1,8.6,7.4,8.5,8.530885,20,7,s
135.878244,85,1,9.1,7.2,8.3,8.530885,29,8,l
17030.72926,85,1,9.5,6.88237,8.5,12,33,0,m
2725.499726,85,1,8.2,6.88237,8.009683,6,7,647,m
2725.499726,85,1,8.1,6.88237,8.3,9,45,647,s
434.867132,85,1,9.1,7.2,8.3,8.530885,29,7,s
7823.770131,88,1,8.2,6.88237,8.009683,8,25,23.263212,s
1672.113043,85,1,8.8,7,8,8,35,60,s
9679.295915,82,1,7.7,6.5,7.5,8.530885,14,0,s
201.985276,81,1,8.1,7.1,8.1,8.530885,18,14,m
5010.057822,88,1,8.1,7.3,8.2,8.530885,10,72,s
43.659442,60,1,7.8,6.5,7.3,8.530885,20,5,m
8748.529396,81,1,9.5,6.88237,8.5,12,33,0,m
286.366816,85,1,8.4,6.88237,8.5,8.530885,15,74,m
10857.00338,81,1,9.5,6.88237,8.5,12,33,0,s
39.050944,85,1,6.2,6.88237,8.009683,8,8,4,s
