area,country,day,distFromSource,doubtful,hour,latitude,locationName,longitude,minute,month,publish,regionCode,second,sourceCauseCode,sourceEqMagnitude,sourceEventValidity,sourceOceanicTsunami,typeMeasurementId,year,eqMagMb,eqMagMs,intensity,eqDepth,elevation,logrunupHt
MIYAGI,JAPAN,11.0,93.974771,n,5.0,38.436667,"MIYAGI PREFECTURE, TOHOKU REGION",141.312417,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,6.0,m
UM,USA TERRITORY,8.0,3625.880124,n,13.0,19.29,WAKE ISLAND,166.6183,3.0,6.0,True,80,36.4,1,7.5,4,True,2,1993,6.4,7.3,8.530885,71.0,6.0,s
MIYAGI,JAPAN,11.0,105.809801,n,5.0,38.374167,"MIYAGI PREFECTURE, TOHOKU REGION",141.16675,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,9.0,l
MIYAGI,SOLOMON ISLANDS,28.0,9374.976591,n,3.0,-6.6928,"TAREKUKURE, TARO ISLAND",156.4086,4.0,10.0,True,82,8.8,1,7.7,4,True,2,2012,6.5,7.5,8.530885,14.0,0.0,s
SHIZUOKA,JAPAN,29.0,278.974426,n,9.0,34.6083,OMAEZAKI,138.2222,22.0,2.0,True,85,59.8,1,7.4,4,True,2,1972,6.3,7.2,10.0,56.0,0.0,s
BC,CANADA,12.0,15168.63401,n,18.0,50.384,"PORT ALICE, BRITISH COLUMBIA",-127.455,35.0,8.0,True,88,20.0,1,8.1,4,True,2,2021,6.88237,8.009683,8.530885,48.0,4.0,s
HOKKAIDO,JAPAN,11.0,410.716676,n,5.0,41.935033,HOKKAIDO PREFECTURE,143.244017,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,5.0,m
BIOBIO,CHILE,27.0,60.08779,n,6.0,-36.63977,CALETA TUMBES,-73.09406,34.0,2.0,True,89,11.5,1,8.8,4,True,4,2010,7.2,8.5,9.0,22.0,10.0,l
KAGOSHIMA,JAPAN,29.0,3386.488973,n,23.0,31.267,MAKURAZAKI,130.3,24.0,7.0,True,85,52.0,1,8.8,4,True,2,2025,7.0,8.0,8.0,35.0,10.0,s
MIYAGI,SRI LANKA,26.0,1815.346491,n,0.0,6.60845,KALUTARA,79.948,58.0,12.0,True,60,53.5,1,9.1,4,True,5,2004,7.0,8.8,8.530885,30.0,7.0,m
IWATE,JAPAN,11.0,105.839584,n,5.0,39.026528,"IWATE PREFECTURE, TOHOKU REGION",141.590056,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,11.0,l
MIE,JAPAN,6.0,1500.484746,n,22.0,34.483,TOBA,136.817,58.0,11.0,True,85,8.6,1,8.3,4,True,2,1958,6.88237,8.009683,10.0,40.0,8.0,s
ISHIKAWA,JAPAN,1.0,9.662783,n,7.0,37.402778,"UKAI PORT, SUZU CITY",137.243333,10.0,1.0,True,85,9.0,3,7.5,4,True,4,2024,6.9,7.2,9.0,10.0,5.0,m
WAKAYAMA,JAPAN,4.0,2852.941384,n,16.0,34.217,WAKAYAMA,135.15,58.0,11.0,True,85,27.9,1,9.0,4,True,2,1952,6.88237,8.5,7.0,22.0,9.0,s
HOKKAIDO,JAPAN,11.0,498.085947,n,5.0,42.677444,HOKKAIDO PREFECTURE,143.637889,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,8.0,m
HI,USA,13.0,5373.642172,n,15.0,19.7303,"HILO, HAWAII, HI",-155.0553,31.0,4.0,True,80,2.0,1,7.2,4,True,2,1923,6.88237,7.2,10.0,20.0,11.0,s
CHIAPAS,MEXICO,23.0,402.642098,n,15.0,14.697,PUERTO CHIAPAS,-92.411,29.0,6.0,True,88,5.0,1,7.4,4,True,2,2020,6.88237,8.009683,8.530885,26.0,0.0,s
PAPUA,INDONESIA,17.0,75.233341,n,5.0,-1.055,"SAURI, BIAK ISLAND",136.296,59.0,2.0,True,83,30.5,3,8.2,4,True,5,1996,6.5,8.1,9.0,33.0,8.0,m
